Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Rua;lat;lon
Centro;1;0;0;15;800.0;390.0;20.0;Avenida das Acácias, 1049;-22.903513;-43.173633
Higienópolis;1;0;0;48;800.0;230.0;0.0;Rua Dias Ferreira, 1181;-22.88497;-43.264993
Cachambi;2;0;0;50;1300.0;301.0;17.0;Rua Barão de Ipanema, 1390;-22.897063;-43.274895
Grajaú;2;1;0;70;1500.0;642.0;74.0;Rua Santa Clara, 348;-22.929074;-43.246727
Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0;Avenida General Polidoro, 951;-22.895145;-43.263734
Copacabana;1;0;1;40;2000.0;561.0;50.0;Avenida Santa Clara, 1340;-22.968003;-43.183946
Copacabana;4;3;1;243;13000.0;2000.0;803.0;Rua Bolívar, 75;-22.967759;-43.185864
Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0;Rua Uruguai, 1451;-22.943249;-43.341403
Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0;Rua São João Batista, 292;-23.00659;-43.366554
Tijuca;2;1;0;110;1900.0;700.0;138.0;Rua Vinícius de Moraes, 1008;-22.930141;-43.234292
Olaria;3;1;0;68;1000.0;670.0;0.0;Rua dos Ipês, 475;-22.862954;-43.258408
Tijuca;2;1;0;78;2000.0;700.0;0.0;Rua das Camélias, 439;-22.921713;-43.230343
Ipanema;3;1;1;125;7000.0;2100.0;463.0;Rua São João Batista, 20;-22.98161;-43.213923
Tijuca;1;0;0;48;750.0;772.0;25.0;Rua General Polidoro, 1173;-22.922257;-43.232022
Barra da Tijuca;3;3;1;175;4200.0;1500.0;500.0;Rua Voluntários da Pátria, 180;-23.004993;-43.364175
Botafogo;2;1;0;76;2500.0;740.0;0.0;Rua das Acácias, 1149;-22.949879;-43.187047
Copacabana;3;1;2;378;10000.0;2150.0;700.0;Rua São João Batista, 462;-22.969483;-43.181557
